894807,328,82,
894809,52,13,
894810,176,44,
894811,192,48,
894812,52,13,
894814,316,79,
894815,52,13,
894816,276,69,
894817,192,48,
894822,316,79,
894824,276,69,
894826,276,69,
894827,52,13,
894845,60,15,
894860,52,13,
895003,76,19,
895004,76,19,
895005,124,31,
895006,92,23,
895007,92,23,
895010,92,23,
895013,152,38,
895017,112,28,
895024,76,19,
895026,76,19,
895027,124,31,
895028,92,23,
895040,64,16,
895044,60,15,
895046,80,20,
895047,112,28,
895048,144,36,
895050,80,20,
895055,64,16,
895057,64,16,
895058,52,13,
895059,80,20,
895060,52,13,
895068,240,60,
895100,108,27,
895101,108,27,
895102,168,42,
895103,288,72,
895104,140,35,
895105,68,17,
895106,80,20,
895107,68,17,
895108,112,28,
895109,52,13,
895110,80,20,
895111,52,13,
895112,64,16,
895113,52,13,
895483,64,16,
895485,68,17,
895486,56,14,
895490,52,13,
895492,88,22,
895499,80,20,
895501,56,14,
895508,56,14,
895510,56,14,
895515,240,60,
895521,160,40,
895522,160,40,
895523,120,30,
895524,80,20,
895525,80,20,
895526,188,47,
895528,80,20,
895529,120,30,
895535,64,16,
895536,64,16,
895537,336,84,
895539,168,42,
895540,168,42,
895541,168,42,
895546,96,24,
895547,96,24,
895610,84,21,
895720,328,82,
895721,164,41,
895723,200,50,
895726,160,40,
895727,184,46,
895729,76,19,
895731,276,69,
895732,276,69,
895734,276,69,
895736,80,20,
895751,52,13,
895752,52,13,
895754,52,13,
895768,404,101,
895769,256,64,
895770,240,60,
895776,328,82,
895777,140,35,
895778,116,29,
895784,252,63,
895785,100,25,
895786,88,22,
895817,51,17,
895818,54,18,
895819,54,18,
895824,51,17,
895825,54,18,
895826,54,18,
895871,63,21,
895873,57,19,
895875,51,17,
895877,87,29,
895878,87,29,
895880,66,22,
895895,51,17,
895897,144,48,
895898,114,38,
895900,87,29,
895903,105,35,
895904,120,40,
895906,51,17,
895908,165,55,
895909,189,63,
895911,189,63,
895915,105,35,
895917,90,30,
895919,120,40,
896114,140,28,
896116,85,17,
896118,640,128,
896119,590,118,
896121,250,50,
896123,195,39,
896129,90,18,
896130,80,16,
896134,50,10,
896140,120,24,
896141,55,11,
896155,70,14,
896214,114,38,
896215,66,22,
896225,108,36,
896230,108,36,
897825,81,27,
897853,57,19,
897860,57,19,
897963,378,126,
897965,135,45,
897966,378,126,
897967,270,90,
897968,378,126,
897969,135,45,
897970,378,126,
897974,270,90,
897986,60,20,
897987,57,19,
897996,51,17,
898012,75,25,
898021,75,25,
898022,108,36,
898041,57,19,
898052,81,27,
898053,120,40,
898069,378,126,
898070,135,45,
898075,135,45,
898076,189,63,
898091,135,45,
898092,108,36,
898095,108,36,
898096,216,72,
898105,51,17,
898107,81,27,
898108,51,17,
898109,51,17,
898112,72,24,
898115,54,18,
898163,57,19,
898169,69,23,
898170,93,31,
898171,51,17,
898174,378,126,
898177,270,90,
898178,51,17,
898183,51,17,
898184,60,20,
898185,51,17,
898191,51,17,
898912,480,96,
898913,240,48,
898915,480,96,
898916,240,48,
898920,320,64,
898921,160,32,
898927,160,32,
898928,80,16,
898930,160,32,
898933,80,16,
898935,160,32,
898938,80,16,
898939,200,40,
898941,120,24,
