140106/1,4080,510,702,14.225,
140107/2,816,102,140,2.845,
140114/3,700,140,134,1.375,
140127/4,750,150,143,1.325,
140130/5,750,150,120,1.725,
140131/6,1500,300,240,3.450,
140137/10,750,150,120,1.725,
140138/11,270,54,41,1.160,
140141/14,672,168,642,11.010,
140145/15,140,28,46,.860,
140149/19,2744,686,2621,50.830,
140158/28,2184,546,2085,35.770,
140159/29,2380,476,777,14.540,
140176/38,240,48,164,2.650,
